cell_id,hardware,mode,world_size,phase,share_pct
33c7b3e36ff43f75862a,B200,training,4,expert_compute,7.300891717514959
33c7b3e36ff43f75862a,B200,training,4,return,17.49283923765565
33c7b3e36ff43f75862a,B200,training,4,combine,55.72415065097257
343cd4186bb42910f7e4,B200,forward,4,pack,3.5709444529611125
343cd4186bb42910f7e4,B200,forward,4,dispatch,15.581716874108661
343cd4186bb42910f7e4,B200,forward,4,expert_compute,45.73422628227112
343cd4186bb42910f7e4,B200,forward,4,return,18.39438924130774
343cd4186bb42910f7e4,B200,forward,4,combine,16.718723149351355
34468ef1995b11b0595e,H100,forward,8,pack,4.614771555810288
34468ef1995b11b0595e,H100,forward,8,dispatch,19.749593241267657
34468ef1995b11b0595e,H100,forward,8,expert_compute,12.706229166724007
34468ef1995b11b0595e,H100,forward,8,return,22.49216566749891
34468ef1995b11b0595e,H100,forward,8,combine,40.437240368699136
3608a6d26bcef43ca52b,H100,forward,8,pack,4.5249529534588095
3608a6d26bcef43ca52b,H100,forward,8,dispatch,20.143730594603888
3608a6d26bcef43ca52b,H100,forward,8,expert_compute,9.811625075129509
3608a6d26bcef43ca52b,H100,forward,8,return,22.45675992838961
3608a6d26bcef43ca52b,H100,forward,8,combine,43.06293144841818
368691eaee9efd1c3003,B200,training,8,pack,4.917054057176102
368691eaee9efd1c3003,B200,training,8,dispatch,18.200936034273507
368691eaee9efd1c3003,B200,training,8,expert_compute,42.904332929184015
368691eaee9efd1c3003,B200,training,8,return,23.20411241322268
368691eaee9efd1c3003,B200,training,8,combine,10.773564566143692
369606b955f492026d88,A100-40GB,training,8,pack,3.668576849202653
369606b955f492026d88,A100-40GB,training,8,dispatch,21.939242105564983
369606b955f492026d88,A100-40GB,training,8,expert_compute,24.29725827984545
369606b955f492026d88,A100-40GB,training,8,return,19.710747465215583
369606b955f492026d88,A100-40GB,training,8,combine,30.38417530017133
383a870b9cd1a7961425,B200,forward,2,pack,3.6809310389654177
383a870b9cd1a7961425,B200,forward,2,dispatch,15.733206949921184
383a870b9cd1a7961425,B200,forward,2,expert_compute,23.610174772467886
383a870b9cd1a7961425,B200,forward,2,return,17.84144724514207
383a870b9cd1a7961425,B200,forward,2,combine,39.13423999350344
3bf414a3eb847a47a32c,B200,forward,2,pack,3.8845665757270034
3bf414a3eb847a47a32c,B200,forward,2,dispatch,15.486490239522242
3bf414a3eb847a47a32c,B200,forward,2,expert_compute,12.652005917724656
3bf414a3eb847a47a32c,B200,forward,2,return,18.082725414340313
3bf414a3eb847a47a32c,B200,forward,2,combine,49.894211852685785
3d37c6ff1766ff876e7b,B200,training,4,pack,4.245566432404487
3d37c6ff1766ff876e7b,B200,training,4,dispatch,14.429614380678737
3d37c6ff1766ff876e7b,B200,training,4,expert_compute,6.443667475327505
3d37c6ff1766ff876e7b,B200,training,4,return,15.040896512875175
3d37c6ff1766ff876e7b,B200,training,4,combine,59.84025519871409
3f4cef416295110eb86e,B200,training,8,pack,4.199995865963119
3f4cef416295110eb86e,B200,training,8,dispatch,19.82576655497785
3f4cef416295110eb86e,B200,training,8,expert_compute,31.166204140311216
3f4cef416295110eb86e,B200,training,8,return,20.9340518133679
3f4cef416295110eb86e,B200,training,8,combine,23.873981625379912
40dbc4d0dce91d754928,B200,forward,2,pack,3.818513624131472
40dbc4d0dce91d754928,B200,forward,2,dispatch,14.847627327266096
40dbc4d0dce91d754928,B200,forward,2,expert_compute,15.051545370514177
40dbc4d0dce91d754928,B200,forward,2,return,17.93760523094826
40dbc4d0dce91d754928,B200,forward,2,combine,48.34470844713999
41384720f8b70d166eaa,H100,forward,4,pack,2.97972205002056
41384720f8b70d166eaa,H100,forward,4,dispatch,14.7211796352575
41384720f8b70d166eaa,H100,forward,4,expert_compute,52.60291337207825
41384720f8b70d166eaa,H100,forward,4,return,14.746866381893359
41384720f8b70d166eaa,H100,forward,4,combine,14.949318560750331
41fe2f03d10246554076,A100-40GB,training,4,pack,4.403946085773978
41fe2f03d10246554076,A100-40GB,training,4,dispatch,18.685393172493985
41fe2f03d10246554076,A100-40GB,training,4,expert_compute,22.885590607917315
41fe2f03d10246554076,A100-40GB,training,4,return,15.556984904007376
41fe2f03d10246554076,A100-40GB,training,4,combine,38.46808522980734
43c4d0374debf3ff6ef1,A100-40GB,training,8,pack,3.736070718377996
43c4d0374debf3ff6ef1,A100-40GB,training,8,dispatch,17.702904121093376
43c4d0374debf3ff6ef1,A100-40GB,training,8,expert_compute,14.375712774432444
43c4d0374debf3ff6ef1,A100-40GB,training,8,return,18.531192031232457
43c4d0374debf3ff6ef1,A100-40GB,training,8,combine,45.65412035486373
43ebfa5367d39f674289,B200,training,4,pack,3.2973060489663633
43ebfa5367d39f674289,B200,training,4,dispatch,15.202458842402297
43ebfa5367d39f674289,B200,training,4,expert_compute,52.199492399604345
43ebfa5367d39f674289,B200,training,4,return,15.798417962945656
43ebfa5367d39f674289,B200,training,4,combine,13.502324746081339
4421f6a0b1d0f9b868b0,B200,training,4,pack,3.8511703018620276
4421f6a0b1d0f9b868b0,B200,training,4,dispatch,16.50682417426591
4421f6a0b1d0f9b868b0,B200,training,4,expert_compute,20.94243091511906
4421f6a0b1d0f9b868b0,B200,training,4,return,18.925389685229668
4421f6a0b1d0f9b868b0,B200,training,4,combine,39.774184923523336
45240a778085b9c9f5c6,H100,forward,8,pack,3.0503253204343235
45240a778085b9c9f5c6,H100,forward,8,dispatch,15.128414855312556
45240a778085b9c9f5c6,H100,forward,8,expert_compute,51.60237183532902
45240a778085b9c9f5c6,H100,forward,8,return,15.749842233717516
45240a778085b9c9f5c6,H100,forward,8,combine,14.469045755206583
46e843c0927f6b285e4b,H100,training,8,pack,5.190797360080699
46e843c0927f6b285e4b,H100,training,8,dispatch,18.312834172575382
46e843c0927f6b285e4b,H100,training,8,expert_compute,21.46524150288711
46e843c0927f6b285e4b,H100,training,8,return,20.545820630500977
46e843c0927f6b285e4b,H100,training,8,combine,34.48530633395583
472d635d99fbd0acdf83,H100,training,4,pack,4.701083496614393
472d635d99fbd0acdf83,H100,training,4,dispatch,22.89020164217287
472d635d99fbd0acdf83,H100,training,4,expert_compute,9.624011690882142
472d635d99fbd0acdf83,H100,training,4,return,23.88090484761786
472d635d99fbd0acdf83,H100,training,4,combine,38.90379832271273
4789e3de73e62bea95b3,H100,forward,2,pack,4.46233065465684
4789e3de73e62bea95b3,H100,forward,2,dispatch,15.312767341843582
4789e3de73e62bea95b3,H100,forward,2,expert_compute,15.030839705368336
4789e3de73e62bea95b3,H100,forward,2,return,18.27987395855636
4789e3de73e62bea95b3,H100,forward,2,combine,46.91418833957488
4aae77a71b77aeaf1f1c,A100-40GB,training,8,pack,4.575301751161216
4aae77a71b77aeaf1f1c,A100-40GB,training,8,dispatch,23.74051648606794
4aae77a71b77aeaf1f1c,A100-40GB,training,8,expert_compute,35.488653602031846
4aae77a71b77aeaf1f1c,A100-40GB,training,8,return,21.61584569087197
4aae77a71b77aeaf1f1c,A100-40GB,training,8,combine,14.579682469867027
4d709e917c6072d2eb9b,A100-40GB,forward,4,pack,3.8663062000211266
4d709e917c6072d2eb9b,A100-40GB,forward,4,dispatch,14.360219992393368
4d709e917c6072d2eb9b,A100-40GB,forward,4,expert_compute,8.481358189525782
4d709e917c6072d2eb9b,A100-40GB,forward,4,return,16.059392388789366
4d709e917c6072d2eb9b,A100-40GB,forward,4,combine,57.23272322927036
4d74205f84c882528106,B200,forward,8,pack,4.406396272157378
4d74205f84c882528106,B200,forward,8,dispatch,19.77655883259331
4d74205f84c882528106,B200,forward,8,expert_compute,33.5573649689812
4d74205f84c882528106,B200,forward,8,return,21.836077341698434
4d74205f84c882528106,B200,forward,8,combine,20.42360258456967
4fa591c1e052647ee448,B200,training,8,pack,3.636550102044681
4fa591c1e052647ee448,B200,training,8,dispatch,16.983440325960608
4fa591c1e052647ee448,B200,training,8,expert_compute,17.648328058379082
4fa591c1e052647ee448,B200,training,8,return,19.41126430673028
4fa591c1e052647ee448,B200,training,8,combine,42.320417206885345
5180db62ad1493e9301b,H100,forward,2,pack,3.2597347746707115
5180db62ad1493e9301b,H100,forward,2,dispatch,15.194859383100363
5180db62ad1493e9301b,H100,forward,2,expert_compute,41.185207807613594
5180db62ad1493e9301b,H100,forward,2,return,15.52694915804167
5180db62ad1493e9301b,H100,forward,2,combine,24.833248876573663
51910d3a9e9e36865495,A100-40GB,forward,8,pack,3.8188310222154334
51910d3a9e9e36865495,A100-40GB,forward,8,dispatch,16.33470758819275
51910d3a9e9e36865495,A100-40GB,forward,8,expert_compute,8.48789341556529
51910d3a9e9e36865495,A100-40GB,forward,8,return,17.142468046272604
51910d3a9e9e36865495,A100-40GB,forward,8,combine,54.21609992775392
53464d9caaca85898ed1,H100,training,2,pack,4.987668531231949
53464d9caaca85898ed1,H100,training,2,dispatch,14.666649972886633
53464d9caaca85898ed1,H100,training,2,expert_compute,12.027121743436368
53464d9caaca85898ed1,H100,training,2,return,16.9114179928491
53464d9caaca85898ed1,H100,training,2,combine,51.40714175959595
55506fe7c3e601fc8a24,A100-40GB,forward,4,pack,5.33582549275823
55506fe7c3e601fc8a24,A100-40GB,forward,4,dispatch,21.188419356696517
55506fe7c3e601fc8a24,A100-40GB,forward,4,expert_compute,38.05513070831033
55506fe7c3e601fc8a24,A100-40GB,forward,4,return,22.486981819962025
55506fe7c3e601fc8a24,A100-40GB,forward,4,combine,12.933642622272902
55b1dd8eec170d023a51,H100,forward,4,pack,4.779867369616133
55b1dd8eec170d023a51,H100,forward,4,dispatch,18.57424834139731
55b1dd8eec170d023a51,H100,forward,4,expert_compute,28.211860292908153
55b1dd8eec170d023a51,H100,forward,4,return,20.1998870264733
